Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C15, C17, C19, C26, C3, C5, C7, C9",805,11,10uF,C117956
"C10, C12, C14, C16, C18, C2, C20, C22, C24, C4, C6, C8",603,12,1uF,C77046
"C21, C23",805,2,4.7uF,C1779
C25,603,1,0.1uF,C77055
C31,603,1,100nF,C77055
"C32, C33",1206,2,47uF,C403725
D1,19-217_R6C-AL1M2VY_6T,1,POWER,C2986059
D2,19-217_R6C-AL1M2VY_6T,1,STATUS,C2986058
D3,19-217_R6C-AL1M2VY_6T,1,ERROR,C2986060
H1,2_54-1_4P,1,2_54-1_4P,C2718488
"H2, H3",Header-Female-2_54_1x5,2,2_54_1x5,C50950
"M_1, M_10, M_2, M_3, M_4, M_5, M_6, M_7, M_8, M_9",MMC5983MA,10,MMC5983MA,C404329
"R1, R2, R7",603,3,10k,C98220
"R10, R11",603,2,5.1k,C2907044
R3,603,1,1k,C21190
"R4, R5",603,2,470,C114669
SW1001,SW_SPST_PTS810,1,Reset,C116501
SW1002,SW_SPST_PTS810,1,Boot,C116501
U0,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913198
U1,AP7361C-33E-13,1,AP7361C-33E-13,C500795
U2,CD74HC154M96,1,CD74HC154M96,C2832236
USB2,USB4155-03-C,1,USB4155-03-C,C5183853